x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
6,0.19,0.71,27.5,1.5,0.152,0.996343314,9,0.494154594,0.57,55,0.9927,3.12,0.46,9.8,6
6.4,0.29,0.57,60,1,0.06,0.996192752,15,0.485721426,0.87,120,0.9924,3.06,0.41,9.5,5
6.7,0.25,0.26,108,1.55,0.041,0.99744674,118.5,0.550228353,0.75,216,0.9949,3.55,0.63,9.4,3
4.9,0.345,0.34,71.5,1,0.068,0.995680672,32,0.51054501,1.035,143,0.99138,3.24,0.4,10.1,5
7.4,0.25,0.37,96,13.5,0.06,0.998749218,52,0.477121255,0.75,192,0.9975,3,0.44,9.1,5
5.7,0.25,0.22,62.5,9.8,0.049,0.997852695,50,0.505149978,0.75,125,0.99571,3.2,0.45,10.1,6
5.8,0.18,0.37,37,1.2,0.036,0.99424846,19,0.489958479,0.54,74,0.98853,3.09,0.49,12.7,7
6,0.22,0.28,45,1.1,0.034,0.994293719,47,0.507855872,0.66,90,0.98862,3.22,0.38,12.6,6
6.9,0.18,0.36,58.5,1.3,0.036,0.996694537,40,0.514547753,0.54,117,0.9934,3.27,0.95,9.5,7
5.8,0.24,0.44,54.5,3.5,0.029,0.995640497,5,0.547774705,0.72,109,0.9913,3.53,0.43,11.7,3
5.7,0.265,0.28,75,6.9,0.036,0.996488836,46,0.526339277,0.795,150,0.99299,3.36,0.44,10.8,7
5.6,0.26,0.26,40,5.7,0.031,0.99614256,12,0.511883361,0.78,80,0.9923,3.25,0.38,10.8,5
6.3,0.28,0.24,86,8.45,0.031,0.99789779,32,0.530199698,0.84,172,0.9958,3.39,0.57,9.7,7
7.8,0.24,0.38,83.5,2.1,0.058,0.996995486,14,0.506505032,0.72,167,0.994,3.21,0.55,9.9,5
7.3,0.28,0.43,61.5,1.7,0.08,0.995238665,21,0.503790683,0.84,123,0.9905,3.19,0.42,12.8,5
5.7,0.25,0.26,60,12.5,0.049,0.998453805,52.5,0.488550717,0.75,120,0.99691,3.08,0.45,9.4,6
6.5,0.19,0.26,70,5.2,0.04,0.997496867,31,0.5132176,0.57,140,0.995,3.26,0.68,9.5,6
8,0.22,0.32,100.5,10.4,0.043,0.998498873,63,0.492760389,0.66,201,0.997,3.11,0.53,9.5,6
7.8,0.17,0.5,70,1.3,0.045,0.995188424,35,0.499687083,0.51,140,0.9904,3.16,0.4,12,6
7.4,0.155,0.34,107,,0.045,0.996694537,73.5,0.50242712,0.465,214,0.9934,3.18,0.61,9.9,7
6.8,0.63,0.04,66.5,1.3,0.058,0.996348333,25,0.501059262,1.89,133,0.99271,3.17,0.39,10.2,4
8.2,0.26,0.44,34.5,1.3,0.046,0.997196069,7,0.496929648,0.78,69,0.9944,3.14,0.62,10.2,4
6.5,0.32,0.12,82.5,11.5,0.033,0.998699154,35,0.507855872,0.96,165,0.9974,3.22,0.32,9,5
6.4,0.15,0.29,57.5,1.8,0.044,0.995821269,21,0.491361694,0.45,115,0.99166,3.1,0.38,10.2,5
6.1,0.34,0.24,92,18.35,0.05,0.999714959,33,0.494154594,1.02,184,0.99943,3.12,0.61,9.3,5
6.1,0.125,0.25,34.5,3.3,0.04,0.996694537,10,0.549003262,0.375,69,0.9934,3.54,0.59,10.1,6
6.3,0.2,0.26,84,4.7,0.04,0.99638346,108,0.487138375,0.6,168,0.99278,3.07,0.75,10.7,7
6.7,0.31,0.32,39.5,14.5,0.038,0.997055665,6,0.496929648,0.93,79,0.99412,3.14,0.34,12.5,5
7.2,0.24,0.27,87,11.4,0.034,0.998864355,40,0.505149978,0.72,174,0.99773,3.2,0.44,9,5
6.4,0.28,0.43,110.5,7.1,0.045,0.997597113,60,0.489958479,0.84,221,0.9952,3.09,0.45,9.4,6
6.5,0.24,0.38,45,1,0.027,0.994615504,31,0.51054501,0.72,90,0.98926,3.24,0.36,12.3,6
7,0.15,0.34,88.5,1.4,0.039,0.996343314,21,0.521138084,0.45,177,0.9927,3.32,0.62,10.8,5
6.4,0.24,0.49,60,5.8,0.053,0.997095783,25,0.478566496,0.72,120,0.9942,3.01,0.98,10.5,6
5.6,0.19,0.31,50,2.7,0.027,0.994806514,11,0.539076099,0.57,100,0.98964,3.46,0.4,13.2,7
6.4,0.33,0.24,54.5,9.8,0.041,0.997797575,29,0.517195898,0.99,109,0.9956,3.29,0.47,10.1,6
6.9,0.25,0.33,79,1.2,0.035,0.995399417,35,0.480006943,0.75,158,0.99082,3.02,0.58,11.3,6
6.9,0.18,0.36,58.5,1.3,0.036,0.996694537,40,0.514547753,0.54,117,0.9934,3.27,0.95,9.5,7
7.4,0.19,0.31,96.5,,0.045,0.999299755,39,0.491361694,0.57,193,0.9986,3.1,0.5,9.2,6
6.7,0.27,0.69,53,1.2,0.176,0.996433641,36,0.471291711,0.81,106,0.99288,2.96,0.43,9.2,6
5.7,0.135,0.3,50.5,4.6,0.042,0.997296345,19,0.519827994,0.405,101,0.9946,3.31,0.42,9.3,6
6.6,0.435,0.38,121.5,9.2,0.058,0.999164651,66,0.509202522,1.305,243,0.99833,3.23,0.54,9.1,6
6.9,0.4,0.37,74,8.9,0.053,0.997997996,36,0.499687083,1.2,148,0.996,3.16,0.5,9.3,5
8.7,0.24,0.35,35.5,0.6,0.042,0.99629313,11,0.488550717,0.72,71,0.9926,3.08,0.38,10.6,5
4.4,0.46,0.1,55.5,2.8,0.024,0.994062372,31,0.541579244,1.38,111,0.98816,3.48,0.34,13.1,6
6.9,0.31,0.32,83,1.2,0.024,0.996032128,20,0.484299839,0.93,166,0.99208,3.05,0.54,9.8,6
6.9,0.21,0.28,79.5,2.4,0.056,0.997196069,49,0.480006943,0.63,159,0.9944,3.02,0.47,8.8,8
6.5,0.26,0.43,85.5,8.9,0.083,0.998248466,50,0.45484486,0.78,171,0.9965,2.85,0.5,9,5
9.9,0.49,0.23,57.5,2.4,0.087,0.997396611,19,0.442479769,1.47,115,0.9948,2.77,0.44,9.4,6
6,0.32,0.12,95,5.9,0.041,0.997196069,34,0.499687083,0.96,190,0.9944,3.16,0.72,10,5
6.6,0.4,0.3,62.5,5.3,0.038,0.996012048,20,0.526339277,1.2,125,0.99204,3.36,0.73,12.6,6
7.6,0.21,0.35,53,1.2,0.041,0.995690715,7,0.485721426,0.63,106,0.9914,3.06,0.45,11.3,4
8.5,0.17,0.49,54,8.8,0.048,0.997346479,23,0.459392488,0.51,108,0.9947,2.88,0.34,10.5,4
7.7,0.25,0.43,57.5,4.5,0.062,0.998298553,20,0.5289167,0.75,115,0.9966,3.38,0.5,9.9,6
7.8,0.22,0.26,66,9,0.047,0.998498873,38,0.511883361,0.66,132,0.997,3.25,0.53,10.2,6
6,0.26,0.5,76.5,2.2,0.048,0.996393497,59,0.488550717,0.78,153,0.9928,3.08,0.61,9.8,5
8.1,0.2,0.28,43.5,0.9,0.023,0.99529895,49,0.465382851,0.6,87,0.99062,2.92,0.36,11.1,6
6.6,0.25,0.36,90,8.1,0.045,0.99789779,54,0.488550717,0.75,180,0.9958,3.08,0.42,9.2,5
5.6,0.26,0,55.5,10.2,0.038,0.996569115,13,0.536558443,0.78,111,0.99315,3.44,0.46,12.4,6
6.4,0.33,0.28,55,,0.038,0.995841353,30,0.494154594,0.99,110,0.9917,3.12,0.42,10.5,6
6,0.32,0.33,45,9.9,0.032,0.996283092,22,0.491361694,0.96,90,0.99258,3.1,0.43,12.1,7
5.4,0.46,0.15,65,2.1,0.026,0.994751225,29,0.530199698,1.38,130,0.98953,3.39,0.77,13.4,8
6.9,0.19,0.35,50.5,1.7,0.036,0.996569115,33,0.506505032,0.57,101,0.99315,3.21,0.54,10.8,7
7.6,0.18,0.49,79,18.05,0.046,0.99979998,36,0.485721426,0.54,158,0.9996,3.06,0.41,9.2,5
6.4,0.25,0.33,57.5,1.4,0.04,0.995288903,42,0.503790683,0.75,115,0.9906,3.19,0.48,11.3,7
6.5,0.26,0.34,98.5,16.3,0.051,1.00019998,56,0.542825427,0.78,197,1.0004,3.49,0.42,9.8,5
6.4,0.26,0.21,81,7.1,0.04,0.997797575,35,0.530199698,0.78,162,0.9956,3.39,0.58,9.9,6
6,0.16,0.22,53,1.6,0.042,0.995238665,36,0.51054501,0.48,106,0.9905,3.24,0.32,11.4,6
6.5,0.24,0.19,55.5,1.2,0.041,0.996263017,30,0.475671188,0.72,111,0.99254,2.99,0.46,9.4,6
7.1,0.28,0.28,95.5,8.5,0.03,0.996684504,25,0.499687083,0.84,191,0.99338,3.16,0.46,12.2,7
7.7,0.27,0.49,69.5,3.8,0.037,0.995570188,46,0.482873584,0.81,139,0.99116,3.04,0.38,11.6,6
7.7,0.39,0.28,54.5,4.9,0.035,0.99589156,36,0.503790683,1.17,109,0.9918,3.19,0.58,12.2,7
6.3,0.2,0.3,76,5.9,0.034,0.998208395,35,0.540329475,0.6,152,0.99642,3.47,0.4,8.5,6
6.6,0.32,0.33,105,2.5,0.052,0.996574132,40,0.498310554,0.96,210,0.99316,3.15,0.6,10,5
6.7,0.21,0.37,44.5,2.5,0.034,0.995640497,35,0.511883361,0.63,89,0.9913,3.25,0.5,11,7
6.7,0.15,0.29,52.5,5,0.058,0.997296345,28,0.546542663,0.45,105,0.9946,3.52,0.44,10.2,7
6.8,0.22,0.26,91,1.2,0.041,0.99550992,29,0.482873584,0.66,182,0.99104,3.04,0.35,11.2,5
6.3,0.28,0.3,77,,0.208,0.997386585,60,0.491361694,0.84,154,0.99478,3.1,0.4,9.4,6
6.6,0.19,0.28,68.5,11.8,0.042,0.997456766,54,0.50242712,0.57,137,0.99492,3.18,0.37,10.8,6
5.9,0.3,0.3,71,2,0.03,0.994444569,38,0.532754379,0.9,142,0.98892,3.41,0.41,12.9,7
6.4,0.33,0.44,82,8.9,0.055,0.997436715,52,0.491361694,0.99,164,0.99488,3.1,0.48,9.6,5
8.3,0.14,0.34,23.5,1.1,0.042,0.996694537,7,0.540329475,0.42,47,0.9934,3.47,0.4,10.2,6
6.8,0.14,0.35,58.5,1.5,0.047,0.995545077,40,0.487138375,0.42,117,0.99111,3.07,0.72,11.1,6
6,0.25,0.4,76,5.7,0.052,0.996985456,56,0.499687083,0.75,152,0.99398,3.16,0.88,10.5,6
6.7,0.17,0.42,91,10.4,0.038,0.998138267,85,0.482873584,0.51,182,0.99628,3.04,0.44,8.9,6
7.8,0.49,0.49,74.5,7,0.043,0.997597113,29,0.506505032,1.47,149,0.9952,3.21,0.33,10,5
8.1,0.27,0.33,50,1.3,0.045,0.995319044,26,0.474216264,0.81,100,0.99066,2.98,0.44,12.4,6
6.8,0.27,0.3,80,13,0.047,0.998523911,69,0.499687083,0.81,160,0.99705,3.16,0.5,9.6,6
7.1,0.26,0.49,56.5,2.2,0.032,0.995138181,31,0.527629901,0.78,113,0.9903,3.37,0.42,12.9,9
7.1,0.36,0.37,57,4.8,0.019,0.995168327,39,0.488550717,1.08,114,0.99036,3.08,0.49,12.7,7
7.2,0.21,0.34,106.5,11.9,0.043,0.998098192,37,0.489958479,0.63,213,0.9962,3.09,0.5,9.6,6
8.5,0.32,0.36,95,14.9,0.041,0.999099595,47,0.488550717,0.96,190,0.9982,3.08,0.31,10,6
6.9,0.23,0.33,84.5,12.8,0.056,0.998999499,44,0.534026106,0.69,169,0.998,3.42,0.42,9.8,6
5.2,0.285,0.29,69,5.15,0.035,0.994736146,64,0.503790683,0.855,138,0.9895,3.19,0.34,12.4,8
6,0.27,0.31,85,5,0.043,0.996192752,54,0.515873844,0.81,170,0.9924,3.28,0.52,11,6
6.4,0.3,0.16,95.5,7.5,0.05,0.997947894,55,0.501059262,0.9,191,0.9959,3.17,0.49,9,5
8.4,0.57,0.44,97.5,10.7,0.051,0.999049548,46,0.498310554,1.71,195,0.9981,3.15,0.51,10.4,5
5.6,0.245,0.25,34,9.7,0.032,0.996995486,12,0.519827994,0.735,68,0.994,3.31,0.34,10.5,5
6.7,0.38,0.26,45.5,,0.036,0.995941765,35,0.474216264,1.14,91,0.9919,2.98,0.37,12.4,6
7.2,0.19,0.31,86.5,1.6,0.062,0.995841353,31,0.525044807,0.57,173,0.9917,3.35,0.44,11.7,6
6.7,0.18,0.3,125.5,6.4,0.048,0.997797575,40,0.517195898,0.54,251,0.9956,3.29,0.52,10,5
6.1,0.24,0.27,76,9.8,0.062,0.998298553,33,0.519827994,0.72,152,0.9966,3.31,0.47,9.5,6
6.3,0.25,0.44,97.5,11.6,0.041,0.998398718,48,0.50242712,0.75,195,0.9968,3.18,0.52,9.5,5
6.6,0.4,0.32,42,1.7,0.035,0.995469738,39,0.555094449,1.2,84,0.99096,3.59,0.48,12.7,7
6.7,0.19,0.39,35.5,1,0.032,0.994545122,14,0.519827994,0.57,71,0.98912,3.31,0.38,13,7
5.9,0.29,0.25,112,12,0.057,0.999049548,48,0.509202522,0.87,224,0.9981,3.23,0.41,9,6
6.9,0.32,0.15,90,8.1,0.046,0.99789779,51,0.495544338,0.96,180,0.9958,3.13,0.45,8.9,5
7.8,0.445,0.56,42,1,0.04,0.99689518,8,0.511883361,1.335,84,0.9938,3.25,0.43,10.8,5
8.4,0.32,0.35,23,11.7,0.029,0.997191055,3,0.480006943,0.96,46,0.99439,3.02,0.34,11.8,6
5.1,0.29,0.28,53.5,8.3,0.026,0.996533993,27,0.526339277,0.87,107,0.99308,3.36,0.37,11,6
7.7,0.18,0.53,83.5,1.2,0.041,0.995389371,42,0.492760389,0.54,167,0.9908,3.11,0.44,11.9,5
8.5,0.22,0.34,12.5,0.7,0.04,0.99589156,5,0.482873584,0.66,25,0.9918,3.04,0.37,10.5,4
8.6,0.18,0.36,93.5,1.8,0.04,0.997797575,24,0.511883361,0.54,187,0.9956,3.25,0.55,9.5,6
6.6,0.27,0.32,46.5,1.3,0.044,0.995208521,18,0.492760389,0.81,93,0.99044,3.11,0.56,12.25,5
7.3,0.28,0.42,86.5,14.4,0.04,0.999699955,49,0.515873844,0.84,173,0.9994,3.28,0.82,9,7
6.8,0.23,0.3,89.5,6.95,0.044,0.997296345,42,0.511883361,0.69,179,0.9946,3.25,0.56,10.6,6
6.6,0.17,0.26,64,7.4,0.052,0.996935304,45,0.499687083,0.51,128,0.99388,3.16,0.37,10,6
7,0.15,0.28,74.5,14.7,0.051,0.998959459,29,0.471291711,0.45,149,0.99792,2.96,0.39,9,7
6.6,0.21,0.31,82.5,11.4,0.039,0.998974474,46,0.532754379,0.63,165,0.99795,3.41,0.44,9.8,7
5.5,0.35,0.35,83.5,,0.045,0.995991968,14,0.523746467,1.05,167,0.992,3.34,0.68,9.9,6
6.3,0.24,0.55,108,8.1,0.04,0.997977956,67,0.51054501,0.72,216,0.99596,3.24,0.5,9.2,5
6.4,0.25,0.37,73.5,4.5,0.039,0.996042168,41,0.50242712,0.75,147,0.9921,3.18,0.4,11.1,7
6.1,0.33,0.3,62,3,0.036,0.994595395,30,0.519827994,0.99,124,0.98922,3.31,0.4,13.1,7
6.9,0.28,0.27,60.5,2.1,0.036,0.99629313,42,0.534026106,0.84,121,0.9926,3.42,0.49,10.8,7
7.7,0.24,0.27,95,1.8,0.051,0.996393497,52,0.509202522,0.72,190,0.9928,3.23,0.5,10.8,6
6.6,0.17,0.28,54,1.1,0.034,0.994680853,55,0.477121255,0.51,108,0.98939,3,0.52,11.9,7
7.6,0.26,0.36,53,1.6,0.032,0.996493853,6,0.498310554,0.78,106,0.993,3.15,0.4,10.4,4
5.9,0.3,0.29,28,1.1,0.036,0.995188424,23,0.503790683,0.9,56,0.9904,3.19,0.38,11.3,5
7.1,0.45,0.24,43.5,2.7,0.04,0.994293719,24,0.46834733,1.35,87,0.98862,2.94,0.38,13.4,8
7.4,0.25,0.28,39,7.25,0.028,0.996182714,14,0.46834733,0.75,78,0.99238,2.94,0.37,11.5,7
6.7,0.28,0.28,50,2.4,0.012,0.995308997,36,0.5132176,0.84,100,0.99064,3.26,0.39,11.7,7
7.8,0.3,0.74,78,1.8,0.033,0.995489829,33,0.517195898,0.9,156,0.991,3.29,0.52,12.8,6
8.2,0.23,0.49,36.5,0.9,0.057,0.996393497,15,0.487138375,0.69,73,0.9928,3.07,0.38,10.4,6
6.2,0.32,0.45,47,2.9,0.029,0.994977387,37,0.511883361,0.96,94,0.98998,3.25,0.6,12.4,6
8.9,0.26,0.33,101,8.1,0.024,0.997787553,47,0.495544338,0.78,202,0.99558,3.13,0.46,10.8,6
6.4,0.38,0.24,75.5,7.2,0.047,0.998018036,41,0.492760389,1.14,151,0.99604,3.11,0.6,9.2,5
5,0.33,0.16,48.5,1.5,0.049,0.995841353,10,0.541579244,0.99,97,0.9917,3.48,0.44,10.7,6
7.5,0.17,0.71,74,11.8,0.038,0.999004504,52,0.481442629,0.51,148,0.99801,3.03,0.46,8.9,5
7,0.24,0.32,61.5,1.3,0.037,0.995991968,39,0.501059262,0.72,123,0.992,3.17,0.42,11.2,8
6.5,0.28,0.35,97.5,15.4,0.042,0.998899394,55,0.509202522,0.84,195,0.9978,3.23,0.5,9.6,6
7.2,0.21,0.36,91.5,,0.045,0.999609924,68,0.511883361,0.63,183,0.99922,3.25,0.76,9.4,5
6.8,0.19,0.23,102,5.1,0.034,0.997095783,71,0.509202522,0.57,204,0.9942,3.23,0.69,10.1,5
7.2,0.31,0.5,97.5,13.3,0.056,0.999099595,68,0.478566496,0.93,195,0.9982,3.01,0.47,9.2,5
6.2,0.2,0.26,80.5,1.7,0.093,0.996192752,40,0.536558443,0.6,161,0.9924,3.44,0.66,11,5
6.3,0.27,0.49,46,1.2,0.063,0.995540054,35,0.5289167,0.81,92,0.9911,3.38,0.42,12.2,6
7.7,0.18,0.3,99.5,1.2,0.046,0.99706068,49,0.481442629,0.54,199,0.99413,3.03,0.38,9.3,5
5.2,0.2,0.27,46.5,3.2,0.047,0.996167657,16,0.536558443,0.6,93,0.99235,3.44,0.53,10.1,7
7.3,0.29,0.37,113.5,8.3,0.044,0.998298553,45,0.494154594,0.87,227,0.9966,3.12,0.47,9,5
6.2,0.25,0.54,88,7,0.046,0.997266263,58,0.503790683,0.75,176,0.99454,3.19,0.7,10.4,5
6.2,0.29,0.26,102,13.1,0.046,0.998724186,55,0.499687083,0.87,204,0.99745,3.16,0.41,9.6,6
6.8,0.475,0.33,40.5,3.95,0.047,0.994927133,16,0.509202522,1.425,81,0.98988,3.23,0.53,13.4,7
8.1,0.33,0.36,78,7.4,0.037,0.997957915,36,0.503790683,0.99,156,0.99592,3.19,0.54,10.6,6
4.5,0.19,0.21,79.5,0.95,0.033,0.996654403,89,0.523746467,0.57,159,0.99332,3.34,0.42,8,5
6.6,0.24,0.28,66,1.8,0.028,0.995901602,39,0.523746467,0.72,132,0.99182,3.34,0.46,11.4,5
7.9,0.2,0.49,72,1.6,0.053,0.996493853,15,0.499687083,0.6,144,0.993,3.16,0.47,10.5,5
5.5,0.28,0.21,42.5,1.6,0.032,0.995123108,23,0.534026106,0.84,85,0.99027,3.42,0.42,12.5,5
6.5,0.25,0.35,89.5,12,0.055,0.998999499,47,0.553883027,0.75,179,0.998,3.58,0.47,10,5
7.8,0.2,0.32,50.5,5,0.016,0.995921684,31,0.475671188,0.6,101,0.99186,2.99,0.39,11,6
6.7,0.21,0.48,97.5,14.8,0.05,0.999709958,31,0.469822016,0.63,195,0.99942,2.95,0.75,8.8,6
7.5,0.25,0.32,104.5,8.2,0.024,0.997812608,53,0.494154594,0.75,209,0.99563,3.12,0.46,10.8,6
6.2,0.37,0.3,100,6.6,0.346,0.997697349,79,0.517195898,1.11,200,0.9954,3.29,0.58,9.6,5
6.4,0.24,0.49,60,,0.053,0.997095783,25,0.478566496,0.72,120,0.9942,3.01,0.98,10.5,6
9,0.26,0.34,81,6.7,0.029,0.997481829,21,0.488550717,0.78,162,0.99497,3.08,0.5,10.6,6
6.9,0.32,0.16,48,1.4,0.051,0.996995486,15,0.507855872,0.96,96,0.994,3.22,0.38,9.5,4
6.6,0.16,0.4,71.5,1.5,0.044,0.995590277,48,0.549003262,0.48,143,0.9912,3.54,0.52,12.4,7
6.9,0.41,0.33,76,10.1,0.043,0.998398718,28,0.505149978,1.23,152,0.9968,3.2,0.52,9.4,5
6,0.24,0.27,85,1.9,0.048,0.99689518,40,0.561101384,0.72,170,0.9938,3.64,0.54,10,7
7.5,0.29,0.36,62,15.7,0.05,0.998398718,29,0.485721426,0.87,124,0.9968,3.06,0.54,10.4,5
7.9,0.21,0.39,69,2,0.057,0.995871478,21,0.484299839,0.63,138,0.99176,3.05,0.52,10.9,5
5.4,0.46,0.15,65,2.1,0.026,0.994751225,29,0.530199698,1.38,130,0.98953,3.39,0.77,13.4,8
7.7,0.39,0.34,89,10,0.056,0.998699154,35,0.5132176,1.17,178,0.9974,3.26,0.6,10.2,5
5.9,0.415,0.13,32,1.4,0.04,0.996092365,11,0.517195898,1.245,64,0.9922,3.29,0.52,10.5,5
5.3,0.31,0.38,70,10.5,0.031,0.996599217,53,0.523746467,0.93,140,0.99321,3.34,0.46,11.7,6
6.8,0.26,0.44,91.5,8.2,0.046,0.997917832,52,0.505149978,0.78,183,0.99584,3.2,0.51,9.4,5
8,0.29,0.29,56.5,13.2,0.046,0.999149638,26,0.511883361,0.87,113,0.9983,3.25,0.37,9.7,6
7.4,0.3,0.49,94,8.2,0.055,0.998699154,49,0.546542663,0.9,188,0.9974,3.52,0.58,9.7,6
7.2,0.2,0.22,50.5,1.6,0.044,0.997351493,17,0.527629901,0.6,101,0.99471,3.37,0.53,10,5
7.4,0.18,0.29,50.5,1.4,0.042,0.996915242,34,0.549003262,0.54,101,0.99384,3.54,0.6,10.5,7
7.6,0.27,0.52,76,3.2,0.043,0.995635475,28,0.480006943,0.81,152,0.99129,3.02,0.53,11.4,6
7.1,0.17,0.4,78,14.55,0.047,0.999724962,47,0.523746467,0.51,156,0.99945,3.34,0.78,9.1,6
6.1,0.34,0.21,66.5,5,0.042,0.99686007,17,0.480006943,1.02,133,0.99373,3.02,0.53,9.4,5
7.8,0.25,0.34,92,13.7,0.044,0.999879993,66,0.507855872,0.75,184,0.99976,3.22,0.75,8.9,5
7.2,0.25,0.28,102.5,,0.055,0.999299755,55,0.494154594,0.75,205,0.9986,3.12,0.38,9,7
7,0.15,0.29,55,16.4,0.058,0.998899394,45,0.498310554,0.45,110,0.9978,3.15,0.37,9.7,6
6.8,0.26,0.46,86.5,8.3,,0.998003006,49,0.501059262,0.78,173,0.99601,3.17,0.47,9.3,5
7,0.23,0.26,45,7.2,0.041,0.997541979,21,0.507855872,0.69,90,0.99509,3.22,0.55,9.5,6
6.3,0.305,0.22,70.5,16,0.061,0.999119612,26,0.488550717,0.915,141,0.99824,3.08,0.5,9.1,5
8.7,0.31,0.21,33.5,5.6,0.039,0.996634336,28,0.471291711,0.93,67,0.99328,2.96,0.52,11,4
6.2,0.355,0.35,47.5,2,0.046,0.994092551,31,0.485721426,1.065,95,0.98822,3.06,0.46,13.6,6
6.6,0.29,0.39,49,6.75,0.031,0.995640497,22,0.498310554,0.87,98,0.9913,3.15,0.8,12.9,7
8.5,0.26,0.21,98.5,16.2,0.074,0.998999499,41,0.480006943,0.78,197,0.998,3.02,0.5,9.8,3
6.2,0.23,0.36,65,17.2,0.039,0.999729964,37,0.509202522,0.69,130,0.99946,3.23,0.43,8.8,6
8.4,0.23,0.32,56.5,1.3,0.048,0.995881519,59,0.491361694,0.69,113,0.99178,3.1,0.55,11,6
6.5,0.33,0.3,44,3.8,0.036,0.995128132,34,0.511883361,0.99,88,0.99028,3.25,0.63,12.5,7
6.9,0.12,0.36,55.5,2.2,0.037,0.995941765,18,0.532754379,0.36,111,0.9919,3.41,0.82,11.9,8
6.8,0.2,0.27,34,1.2,0.034,0.995087936,19,0.496929648,0.6,68,0.9902,3.14,0.37,11.7,4
7.4,0.18,0.42,93.5,2.1,0.036,0.99689518,33,0.531478917,0.54,187,0.9938,3.4,0.41,10.6,7
8.2,0.22,0.49,77,9.6,0.037,0.997546991,53,0.480006943,0.66,154,0.9951,3.02,0.33,10.6,6
8.3,0.33,0.42,48,1.15,0.033,0.995540054,18,0.505149978,0.99,96,0.9911,3.2,0.32,12.4,3
6.5,0.23,0.25,55,17.3,0.046,0.99913963,15,0.498310554,0.69,110,0.99828,3.15,0.42,9.2,6
6.7,0.29,0.45,90.5,14.3,,0.999344785,30,0.496929648,0.87,181,0.99869,3.14,0.57,9.1,5
7.5,0.305,0.4,85,18.9,0.059,1,44,0.475671188,0.915,170,1,2.99,0.46,9,5
6,0.22,0.23,61,5,0.045,0.996298148,10,0.46834733,0.66,122,0.99261,2.94,0.63,10,6
6.2,0.28,0.41,94,,0.043,0.996584166,50,0.509202522,0.84,188,0.99318,3.23,0.64,10.8,6
7,0.21,0.28,110.5,8.6,0.045,0.997697349,37,0.511883361,0.63,221,0.9954,3.25,0.54,10.4,6
7.6,0.16,0.44,54.5,1.4,0.043,0.9965942,25,0.492760389,0.48,109,0.9932,3.11,0.75,10.3,6
6.1,0.16,0.34,57,6.1,0.034,0.996819944,31,0.521138084,0.48,114,0.99365,3.32,0.58,10.15,7
7.5,0.33,0.39,59.5,12.4,0.065,0.998699154,29,0.499687083,0.99,119,0.9974,3.16,0.39,9.4,5
6,0.28,0.27,67,15.5,0.036,0.997035606,31,0.503790683,0.84,134,0.99408,3.19,0.44,13,7
4.7,0.785,0,67,3.4,0.036,0.994891954,23,0.547774705,2.355,134,0.98981,3.53,0.92,13.8,6
5.9,0.12,0.27,55,4.8,0.03,0.996122482,40,0.550228353,0.36,110,0.99226,3.55,0.68,12.1,6
5.8,0.26,0.18,57,1.2,0.031,0.995389371,40,0.534026106,0.78,114,0.9908,3.42,0.4,11,7
7.7,0.25,0.49,84.5,2.5,0.047,0.99625298,31,0.487138375,0.75,169,0.99252,3.07,0.57,10.6,6
6.4,0.21,0.34,71,16.05,0.04,0.998388702,56,0.492760389,0.63,142,0.99678,3.11,0.38,10.6,5
7,0.14,0.32,70.5,9,0.039,0.997797575,54,0.507855872,0.42,141,0.9956,3.22,0.43,9.4,6
6.1,0.21,0.19,65.5,1.4,0.046,0.995911643,51,0.507855872,0.63,131,0.99184,3.22,0.39,10.5,5
7.1,0.2,0.31,105.5,6.85,0.053,0.997932863,32,0.519827994,0.6,211,0.99587,3.31,0.59,10.4,6
8.7,0.23,0.32,84.5,13.4,0.044,0.999874992,35,0.494154594,0.69,169,0.99975,3.12,0.47,8.8,7
7.3,0.22,0.26,86,1.5,0.04,0.995961847,32,0.514547753,0.66,172,0.99194,3.27,0.48,11.2,6
7.9,0.25,0.29,58.5,5.3,0.031,0.99589156,33,0.485721426,0.75,117,0.9918,3.06,0.32,11.8,7
8,0.22,0.42,81.5,14.6,0.044,1.000149989,45,0.506505032,0.66,163,1.0003,3.21,0.69,8.6,7
7.2,0.2,0.61,51.5,16.2,0.043,0.999349789,14,0.485721426,0.6,103,0.9987,3.06,0.36,9.2,6
6.4,0.28,0.45,111.5,8.6,0.057,0.998268501,47,0.499687083,0.84,223,0.99654,3.16,0.51,9.1,5
6.6,0.23,0.32,51,1.7,0.024,0.995409463,26,0.517195898,0.69,102,0.99084,3.29,0.6,11.8,6
6.8,0.22,0.49,64,0.9,0.052,0.995489829,26,0.511883361,0.66,128,0.991,3.25,0.35,11.4,6
7.2,0.16,0.35,42,1.2,,0.996393497,27,0.522444234,0.48,84,0.9928,3.33,0.34,9.9,5
6.4,0.31,0.28,68.5,2.5,0.039,0.99471604,34,0.507855872,0.93,137,0.98946,3.22,0.38,12.7,6
7.5,0.18,0.31,80,6.5,0.029,0.996373424,53,0.481442629,0.54,160,0.99276,3.03,0.38,10.9,6
5.6,0.25,0.26,57.5,3.6,0.037,0.995188424,18,0.534026106,0.75,115,0.9904,3.42,0.5,12.6,6
